civilite;prenom;nom;classement;type_mandat;qualite;type_document;departement;date_publication;date_depot;nom_fichier;url_dossier;open_data;statut_publication;id_origine;url_photo
Mme;Abbassia;HAKEM;hakemaaaabbassia4615;commune;Adjointe au maire de Nantes;di;44;2021-09-27;2020-09-01;hakem-abbassia-di16146-commune-nantes.pdf;/pages_nominatives/hakem-abbassia;hakem-abbassia-di16146-commune-nantes.xml;Livrée;;
Mme;Abbassia;HAKEM;hakemaaaabbassia4615;commune;Adjointe au maire de Nantes;dim;44;2021-09-28;2021-08-02;hakem-abbassia-dim16147-commune-nantes.pdf;/pages_nominatives/hakem-abbassia;hakem-abbassia-dim16147-commune-nantes.xml;Livrée;;
M.;Abdallah;HASSANI;HASSANI Abdallah13338;senateur;Sénateur de Mayotte;dia;976;2017-12-20;2017-11-22;hassani-abdallah-dia5105-senateur-976.pdf;/pages_nominatives/hassani-abdallah;hassani-abdallah-dia5105-senateur-976.xml;Livrée;19329S;http://www.senat.fr/senimg/hassani_abdallah19329s.jpg
