City,County,Latitude,Longitude,State,0-4,5-9,10-14,15-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,F,M
Brewster,Barnstable,41.76,-70.0833,MA,0.03,0.03,0.07,0.06,0.08,0.06,0.11,0.15,0.19,0.13,0.09,0.52,0.48
Bridgewater,Plymouth,41.9902,-70.9754,MA,0.07,0.08,0.06,0.06,0.12,0.14,0.12,0.13,0.09,0.1,0.03,0.52,0.48
Brimfield,Hampden,42.1228,-72.2014,MA,0.07,0.06,0.05,0.04,0.09,0.08,0.17,0.14,0.17,0.09,0.04,0.5,0.5
Brockton,Plymouth,42.0833,-71.0189,MA,0.06,0.05,0.08,0.08,0.14,0.13,0.13,0.14,0.1,0.06,0.03,0.51,0.49
Brookfield,Worcester,42.2139,-72.1028,MA,0.08,0.02,0.05,0.05,0.14,0.12,0.14,0.16,0.14,0.07,0.03,0.53,0.47
Brookline,Norfolk,42.3317,-71.1217,MA,0.06,0.05,0.04,0.05,0.14,0.12,0.14,0.16,0.14,0.07,0.03,0.53,0.47
Buckland,Franklin,42.5922,-72.7922,MA,0.06,0.05,0.05,0.04,0.07,0.12,0.13,0.2,0.18,0.06,0.04,0.48,0.52
Burlington,Middlesex,42.5047,-71.1961,MA,0.08,0.05,0.06,0.05,0.1,0.14,0.13,0.14,0.11,0.09,0.05,0.52,0.48
Cambridge,Middlesex,42.3652,-71.105,MA,0.03,0.04,0.03,0.08,0.31,0.17,0.11,0.08,0.07,0.05,0.03,0.5,0.5
Canton,Norfolk,42.1583,-71.1453,MA,0.06,0.06,0.06,0.05,0.1,0.13,0.14,0.14,0.13,0.08,0.05,0.52,0.48
Carlisle,Middlesex,42.5288,-71.3498,MA,0.05,0.06,0.07,0.07,0.08,0.05,0.12,0.2,0.2,0.07,0.03,0.47,0.53
Carver,Plymouth,41.8833,-70.7631,MA,0.07,0.04,0.06,0.06,0.12,0.09,0.13,0.16,0.12,0.11,0.04,0.51,0.49
Charlemont,Franklin,42.6281,-72.8701,MA,0.03,0.04,0.03,0.1,0.09,0.05,0.15,0.17,0.14,0.12,0.08,0.56,0.44
Charlton,Worcester,42.1341,-71.969,MA,0.1,0.03,0.07,0.06,0.12,0.1,0.13,0.18,0.12,0.05,0.04,0.52,0.48
Chatham,Barnstable,41.6819,-69.9603,MA,0.01,0.01,0.03,0.04,0.07,0.08,0.05,0.14,0.22,0.22,0.13,0.52,0.48
Chelmsford,Middlesex,42.5997,-71.3678,MA,0.06,0.06,0.05,0.06,0.1,0.11,0.14,0.16,0.13,0.08,0.05,0.52,0.48
Chelsea,Suffolk,42.3917,-71.0333,MA,0.05,0.09,0.06,0.07,0.16,0.19,0.14,0.1,0.08,0.04,0.02,0.48,0.52
Cheshire,Berkshire,42.5619,-73.1633,MA,0.01,0.04,0.04,0.05,0.11,0.08,0.12,0.22,0.17,0.11,0.05,0.47,0.53
Chester,Hampden,42.2794,-72.9828,MA,0.04,0.04,0.06,0.06,0.09,0.16,0.11,0.17,0.15,0.08,0.04,0.49,0.51
Chesterfield,Hampshire,42.3917,-72.8403,MA,0.01,0.03,0.04,0.11,0.07,0.11,0.17,0.14,0.18,0.09,0.05,0.5,0.5
Chicopee,Hampden,42.1486,-72.6083,MA,0.04,0.06,0.07,0.06,0.14,0.13,0.12,0.13,0.13,0.07,0.05,0.52,0.48
Chilmark,Dukes,41.3432,-70.744,MA,0.01,0.03,0.04,0.07,0.15,0.04,0.15,0.13,0.17,0.17,0.04,0.53,0.47
Clarksburg,Berkshire,42.7169,-73.0928,MA,0.06,0.04,0.07,0.03,0.11,0.12,0.13,0.16,0.13,0.1,0.05,0.49,0.51
Clinton,Worcester,42.4167,-71.6833,MA,0.04,0.06,0.06,0.06,0.16,0.17,0.12,0.13,0.12,0.05,0.03,0.5,0.5
Cohasset,Norfolk,42.2417,-70.8042,MA,0.1,0.07,0.08,0.06,0.07,0.06,0.17,0.15,0.12,0.06,0.06,0.53,0.47
Colrain,Franklin,42.6731,-72.6972,MA,0.05,0.04,0.04,0.04,0.12,0.09,0.09,0.16,0.23,0.1,0.04,0.51,0.49
Concord,Middlesex,42.4603,-71.3494,MA,0.06,0.05,0.05,0.1,0.06,0.1,0.14,0.16,0.13,0.08,0.07,0.49,0.51
Conway,Franklin,42.5096,-72.6993,MA,0.03,0.06,0.05,0.08,0.05,0.08,0.14,0.18,0.21,0.08,0.04,0.49,0.51
Cummington,Hampshire,42.4617,-72.8944,MA,0.05,0.05,0.04,0.05,0.07,0.05,0.16,0.2,0.18,0.11,0.04,0.51,0.49
Dalton,Berkshire,42.4733,-73.1712,MA,0.03,0.04,0.05,0.05,0.11,0.11,0.11,0.19,0.17,0.08,0.06,0.53,0.47
