City,County,Latitude,Longitude,State,0-4,5-9,10-14,15-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,F,M
Merrimac,Essex,42.8306,-71.0028,MA,0.03,0.06,0.1,0.06,0.06,0.08,0.18,0.18,0.14,0.07,0.04,0.5,0.5
Methuen,Essex,42.7261,-71.1914,MA,0.05,0.06,0.07,0.07,0.13,0.12,0.14,0.15,0.11,0.06,0.04,0.52,0.48
Middleborough,Plymouth,41.8894,-70.8942,MA,0.05,0.05,0.07,0.05,0.13,0.11,0.12,0.16,0.14,0.09,0.03,0.49,0.51
Middlefield,Hampshire,42.3497,-73.0084,MA,0,0.01,0.02,0.04,0.1,0.05,0.03,0.29,0.34,0.08,0.04,0.54,0.46
Middleton,Essex,42.595,-71.0167,MA,0.03,0.06,0.06,0.05,0.14,0.13,0.11,0.18,0.13,0.08,0.03,0.47,0.53
Milford,Worcester,42.1397,-71.5167,MA,0.07,0.07,0.06,0.05,0.12,0.13,0.15,0.13,0.12,0.06,0.04,0.5,0.5
Millbury,Worcester,42.1939,-71.7606,MA,0.06,0.05,0.05,0.05,0.11,0.12,0.15,0.17,0.11,0.09,0.04,0.52,0.48
Millis,Norfolk,42.1687,-71.3542,MA,0.04,0.06,0.06,0.09,0.08,0.1,0.15,0.17,0.17,0.06,0.02,0.52,0.48
Millville,Worcester,42.0278,-71.5814,MA,0.06,0.05,0.07,0.07,0.11,0.11,0.16,0.17,0.11,0.04,0.05,0.54,0.46
Milton,Norfolk,42.2486,-71.0692,MA,0.07,0.06,0.08,0.07,0.1,0.12,0.12,0.14,0.11,0.07,0.06,0.53,0.47
Monroe,Franklin,42.7219,-72.9414,MA,0.07,0.04,0.05,0.05,0.09,0.1,0.05,0.24,0.1,0.21,0,0.49,0.51
Monson,Hampden,42.1042,-72.3194,MA,0.04,0.04,0.06,0.06,0.1,0.1,0.13,0.2,0.15,0.09,0.03,0.51,0.49
Montague,Franklin,42.5353,-72.5217,MA,0.04,0.04,0.04,0.04,0.12,0.13,0.16,0.13,0.15,0.09,0.06,0.54,0.46
Monterey,Berkshire,42.1792,-73.2125,MA,0.01,0.04,0.03,0.09,0.03,0.06,0.08,0.2,0.22,0.16,0.08,0.52,0.48
Montgomery,Hampden,42.2068,-72.8051,MA,0.06,0.04,0.02,0.05,0.13,0.06,0.13,0.2,0.19,0.09,0.03,0.48,0.52
Mount Washington,Berkshire,42.0833,-73.4517,MA,0,0.01,0,0.02,0.07,0.1,0.07,0.31,0.17,0.18,0.07,0.41,0.59
Nahant,Essex,42.4264,-70.9194,MA,0.01,0.03,0.03,0.1,0.07,0.09,0.14,0.17,0.2,0.1,0.06,0.54,0.46
Nantucket,Nantucket,41.2835,-70.0995,MA,0.06,0.05,0.06,0.06,0.11,0.16,0.15,0.14,0.12,0.06,0.03,0.49,0.51
Natick,Middlesex,42.2838,-71.3473,MA,0.07,0.06,0.07,0.07,0.09,0.13,0.16,0.14,0.12,0.06,0.03,0.51,0.49
Needham,Norfolk,42.2833,-71.2333,MA,0.07,0.06,0.05,0.11,0.06,0.1,0.14,0.15,0.12,0.08,0.06,0.52,0.48
New Ashford,Berkshire,42.605,-73.24,MA,0,0.02,0.04,0.09,0.12,0.05,0.08,0.23,0.19,0.09,0.09,0.45,0.55
New Bedford,Bristol,41.6361,-70.9347,MA,0.07,0.07,0.06,0.06,0.15,0.15,0.12,0.11,0.1,0.06,0.05,0.51,0.49
New Braintree,Worcester,42.3327,-72.1134,MA,0.04,0.06,0.05,0.08,0.08,0.07,0.14,0.24,0.15,0.07,0.02,0.52,0.48
New Marlborough,Berkshire,42.1222,-73.231,MA,0.02,0.06,0.03,0.07,0.05,0.09,0.1,0.21,0.16,0.12,0.09,0.49,0.51
New Salem,Franklin,42.5034,-72.3323,MA,0.02,0.07,0.1,0.02,0.04,0.04,0.12,0.23,0.19,0.12,0.05,0.46,0.54
Newbury,Essex,42.7667,-70.8458,MA,0.05,0.04,0.09,0.07,0.05,0.08,0.15,0.19,0.16,0.08,0.04,0.55,0.45
Newburyport,Essex,42.8097,-70.8767,MA,0.05,0.06,0.06,0.06,0.07,0.09,0.14,0.18,0.14,0.1,0.05,0.54,0.46
Newton,Middlesex,42.3369,-71.2097,MA,0.05,0.05,0.07,0.08,0.13,0.11,0.12,0.13,0.13,0.08,0.05,0.54,0.46
Norfolk,Norfolk,42.1193,-71.3251,MA,0.06,0.06,0.07,0.06,0.08,0.14,0.16,0.16,0.12,0.06,0.03,0.42,0.58
North Adams,Berkshire,42.7,-73.1167,MA,0.03,0.06,0.07,0.05,0.15,0.1,0.11,0.15,0.14,0.09,0.05,0.5,0.5
North Andover,Essex,42.6877,-71.1216,MA,0.06,0.06,0.08,0.07,0.12,0.12,0.12,0.15,0.11,0.06,0.05,0.52,0.48
North Attleborough,Bristol,41.9833,-71.3333,MA,0.04,0.06,0.07,0.09,0.12,0.13,0.15,0.15,0.12,0.05,0.02,0.52,0.48
North Brookfield,Worcester,42.2667,-72.0833,MA,0.05,0.06,0.04,0.05,0.14,0.12,0.14,0.16,0.14,0.07,0.03,0.53,0.47
North Reading,Middlesex,42.574,-71.0793,MA,0.04,0.07,0.06,0.06,0.1,0.1,0.15,0.19,0.13,0.07,0.03,0.51,0.49
Northampton,Hampshire,42.3333,-72.65,MA,0.05,0.03,0.07,0.07,0.17,0.12,0.11,0.13,0.15,0.06,0.04,0.58,0.42
Northborough,Worcester,42.3194,-71.6417,MA,0.04,0.07,0.06,0.08,0.1,0.11,0.14,0.18,0.12,0.07,0.03,0.53,0.47
Northbridge,Worcester,42.1514,-71.65,MA,0.06,0.07,0.05,0.06,0.12,0.13,0.13,0.15,0.11,0.07,0.05,0.53,0.47
Northfield,Franklin,42.6973,-72.4548,MA,0.04,0.04,0.07,0.07,0.1,0.08,0.12,0.17,0.17,0.08,0.06,0.51,0.49
Norton,Bristol,41.9667,-71.1875,MA,0.03,0.06,0.1,0.05,0.16,0.09,0.13,0.17,0.12,0.07,0.02,0.52,0.48
Norwell,Plymouth,42.1618,-70.7938,MA,0.06,0.08,0.08,0.07,0.07,0.11,0.14,0.16,0.11,0.07,0.05,0.51,0.49
Norwood,Norfolk,42.1944,-71.2,MA,0.06,0.05,0.05,0.04,0.13,0.15,0.12,0.14,0.11,0.08,0.07,0.53,0.47
Oak Bluffs,Dukes,41.4542,-70.5625,MA,0.06,0.08,0.06,0.06,0.07,0.15,0.14,0.1,0.14,0.1,0.04,0.51,0.49
Oakham,Worcester,42.3498,-72.0392,MA,0.03,0.04,0.05,0.06,0.12,0.09,0.12,0.22,0.18,0.07,0.02,0.52,0.48
Orange,Franklin,42.5903,-72.3103,MA,0.06,0.05,0.05,0.05,0.11,0.11,0.14,0.15,0.16,0.08,0.04,0.54,0.46
Orleans,Barnstable,41.7897,-69.9903,MA,0.01,0.06,0.02,0.08,0.04,0.09,0.08,0.12,0.23,0.17,0.1,0.55,0.45
Otis,Berkshire,42.1931,-73.0922,MA,0.02,0.05,0.01,0.03,0.07,0.1,0.14,0.21,0.17,0.15,0.05,0.48,0.52
Oxford,Worcester,42.1167,-71.8653,MA,0.06,0.05,0.07,0.07,0.15,0.12,0.12,0.16,0.1,0.06,0.04,0.51,0.49
Palmer,Hampden,42.1849,-72.3479,MA,0.04,0.02,0.07,0.08,0.15,0.09,0.15,0.16,0.14,0.05,0.05,0.52,0.48
Paxton,Worcester,42.3111,-71.9286,MA,0.06,0.04,0.06,0.11,0.13,0.1,0.09,0.18,0.13,0.06,0.04,0.49,0.51
Peabody,Essex,42.5278,-70.9292,MA,0.05,0.05,0.05,0.05,0.13,0.13,0.1,0.15,0.13,0.08,0.08,0.52,0.48
Pelham,Hampshire,42.3921,-72.4035,MA,0.05,0.05,0.04,0.04,0.12,0.13,0.1,0.14,0.16,0.11,0.06,0.53,0.47
Pembroke,Plymouth,42.0667,-70.8167,MA,0.04,0.05,0.05,0.1,0.11,0.1,0.14,0.18,0.12,0.08,0.03,0.51,0.49
Pepperell,Middlesex,42.6658,-71.5889,MA,0.06,0.06,0.05,0.06,0.11,0.11,0.14,0.18,0.14,0.05,0.04,0.51,0.49
Peru,Berkshire,42.4379,-73.0458,MA,0.07,0.06,0.04,0.03,0.11,0.07,0.14,0.25,0.17,0.06,0,0.5,0.5
Petersham,Worcester,42.4875,-72.1875,MA,0.02,0.05,0.02,0.09,0.09,0.08,0.13,0.2,0.16,0.09,0.07,0.52,0.48
Phillipston,Worcester,42.5486,-72.1333,MA,0.05,0.04,0.06,0.07,0.12,0.1,0.13,0.18,0.17,0.05,0.03,0.5,0.5
Pittsfield,Berkshire,42.445,-73.2528,MA,0.05,0.04,0.05,0.05,0.12,0.13,0.13,0.15,0.14,0.08,0.06,0.53,0.47
Plainfield,Hampshire,42.5153,-72.9167,MA,0.05,0.02,0.03,0.05,0.08,0.08,0.16,0.14,0.22,0.12,0.05,0.47,0.53
Plainville,Norfolk,42.0042,-71.3333,MA,0.06,0.04,0.08,0.06,0.11,0.13,0.16,0.15,0.1,0.08,0.03,0.51,0.49
Plymouth,Plymouth,41.9558,-70.6644,MA,0.04,0.05,0.06,0.05,0.11,0.11,0.12,0.16,0.16,0.1,0.04,0.52,0.48
Plympton,Plymouth,41.9559,-70.8148,MA,0.06,0.06,0.05,0.06,0.1,0.11,0.13,0.17,0.12,0.12,0.02,0.52,0.48
Princeton,Worcester,42.4486,-71.8778,MA,0.03,0.06,0.05,0.09,0.07,0.07,0.14,0.18,0.19,0.09,0.03,0.48,0.52
Provincetown,Barnstable,42.058,-70.179,MA,0,0.04,0.02,0.01,0.06,0.1,0.09,0.27,0.23,0.13,0.05,0.42,0.58
Quincy,Norfolk,42.2529,-71.0023,MA,0.04,0.05,0.03,0.04,0.16,0.17,0.12,0.12,0.13,0.08,0.06,0.52,0.48
Randolph,Norfolk,42.1626,-71.0413,MA,0.06,0.05,0.05,0.06,0.15,0.12,0.13,0.15,0.13,0.06,0.04,0.52,0.48
Raynham,Bristol,41.9486,-71.0736,MA,0.06,0.06,0.06,0.06,0.11,0.14,0.12,0.15,0.12,0.08,0.04,0.54,0.46
Reading,Middlesex,42.5256,-71.0958,MA,0.07,0.06,0.07,0.06,0.08,0.12,0.14,0.16,0.12,0.07,0.05,0.51,0.49
Rehoboth,Bristol,41.8403,-71.25,MA,0.04,0.06,0.07,0.07,0.13,0.09,0.15,0.19,0.11,0.06,0.03,0.48,0.52
Revere,Suffolk,42.4084,-71.012,MA,0.05,0.07,0.05,0.05,0.12,0.17,0.15,0.13,0.11,0.06,0.04,0.5,0.5
Richmond,Berkshire,42.3731,-73.3681,MA,0.06,0.03,0.03,0.04,0.04,0.11,0.08,0.19,0.21,0.15,0.06,0.51,0.49
Rochester,Plymouth,41.7317,-70.8206,MA,0.05,0.07,0.08,0.09,0.08,0.07,0.13,0.19,0.16,0.06,0.02,0.46,0.54
Rockland,Plymouth,42.1263,-70.9164,MA,0.06,0.07,0.05,0.06,0.13,0.13,0.14,0.14,0.12,0.07,0.03,0.52,0.48
Rockport,Essex,42.6556,-70.6208,MA,0.02,0.06,0.04,0.05,0.07,0.08,0.1,0.16,0.2,0.14,0.08,0.56,0.44
Rowe,Franklin,42.6957,-72.8985,MA,0.03,0.03,0.06,0.07,0.11,0.12,0.07,0.1,0.2,0.14,0.07,0.55,0.45
Rowley,Essex,42.7167,-70.8792,MA,0.03,0.06,0.05,0.09,0.09,0.12,0.11,0.19,0.14,0.08,0.04,0.54,0.46
Royalston,Worcester,42.6775,-72.1883,MA,0.03,0.04,0.05,0.07,0.05,0.11,0.13,0.2,0.2,0.1,0.02,0.48,0.52
Russell,Hampden,42.1897,-72.8591,MA,0.07,0.06,0.06,0.05,0.11,0.14,0.13,0.14,0.15,0.07,0.02,0.52,0.48
Rutland,Worcester,42.3694,-71.9486,MA,0.07,0.06,0.08,0.1,0.1,0.1,0.19,0.12,0.11,0.06,0.01,0.46,0.54
Salem,Essex,42.5214,-70.8986,MA,0.04,0.05,0.06,0.04,0.18,0.16,0.12,0.13,0.11,0.07,0.04,0.55,0.45
Salisbury,Essex,42.8418,-70.8604,MA,0.04,0.04,0.05,0.05,0.1,0.12,0.15,0.16,0.16,0.09,0.04,0.5,0.5
Sandisfield,Berkshire,42.1112,-73.1399,MA,0.05,0.05,0.06,0.06,0.06,0.08,0.16,0.15,0.16,0.09,0.08,0.48,0.52
Sandwich,Barnstable,41.7589,-70.4944,MA,0.03,0.06,0.07,0.05,0.1,0.09,0.1,0.18,0.17,0.1,0.05,0.51,0.49
Saugus,Essex,42.4647,-71.0106,MA,0.04,0.05,0.05,0.05,0.12,0.11,0.12,0.18,0.14,0.08,0.06,0.51,0.49
Savoy,Lanesborough,42.5667,-73.0292,MA,0.06,0.05,0.03,0.05,0.09,0.09,0.08,0.18,0.22,0.11,0.04,0.51,0.49
Scituate,Plymouth,42.2,-70.7724,MA,0.05,0.06,0.05,0.07,0.06,0.09,0.12,0.18,0.18,0.09,0.05,0.53,0.47
Seekonk,Bristol,41.8083,-71.3375,MA,0.04,0.05,0.06,0.08,0.09,0.11,0.15,0.16,0.13,0.09,0.04,0.53,0.47
Sharon,Norfolk,42.1236,-71.1786,MA,0.04,0.08,0.1,0.08,0.07,0.09,0.16,0.16,0.12,0.06,0.04,0.52,0.48
Sheffield,Lanesborough,42.1107,-73.3531,MA,0.01,0.04,0.05,0.05,0.12,0.06,0.14,0.18,0.17,0.12,0.06,0.5,0.5
Shelburne,Franklin,42.6003,-72.6705,MA,0.01,0.04,0.04,0.05,0.06,0.09,0.07,0.22,0.23,0.12,0.07,0.57,0.43
Sherborn,Middlesex,42.2391,-71.3694,MA,0.06,0.05,0.08,0.1,0.05,0.08,0.14,0.22,0.13,0.05,0.04,0.54,0.46
Shirley,Middlesex,42.5586,-71.6464,MA,0.01,0.05,0.02,0.05,0.16,0.11,0.15,0.19,0.16,0.05,0.05,0.48,0.52
Shrewsbury,Worcester,42.2966,-71.7136,MA,0.06,0.06,0.07,0.06,0.11,0.12,0.14,0.16,0.11,0.06,0.05,0.51,0.49
Shutesbury,Franklin,42.4521,-72.41,MA,0.03,0.06,0.05,0.06,0.08,0.12,0.13,0.16,0.23,0.06,0.02,0.53,0.47
Somerset,Bristol,41.7694,-71.1292,MA,0.04,0.05,0.05,0.07,0.09,0.12,0.11,0.16,0.14,0.08,0.09,0.5,0.5
Somerville,Middlesex,42.3875,-71.1,MA,0.04,0.04,0.05,0.04,0.27,0.24,0.1,0.07,0.08,0.05,0.02,0.53,0.47
South Hadley,Hampshire,42.2583,-72.575,MA,0.03,0.04,0.08,0.07,0.18,0.11,0.12,0.12,0.11,0.08,0.06,0.61,0.39
Southampton,Hampshire,42.2292,-72.7306,MA,0.04,0.04,0.07,0.06,0.12,0.07,0.14,0.17,0.18,0.09,0.02,0.49,0.51
Southborough,Worcester,42.3056,-71.525,MA,0.05,0.08,0.07,0.09,0.08,0.09,0.15,0.19,0.11,0.06,0.03,0.51,0.49
Southbridge,Worcester,42.075,-72.0339,MA,0.06,0.06,0.06,0.06,0.15,0.11,0.15,0.13,0.12,0.06,0.04,0.51,0.49
Southwick,Hampden,42.0547,-72.7708,MA,0.04,0.05,0.06,0.06,0.09,0.12,0.12,0.15,0.14,0.11,0.06,0.5,0.5
Spencer,Worcester,42.2439,-71.9928,MA,0.03,0.04,0.06,0.07,0.1,0.15,0.12,0.16,0.15,0.08,0.04,0.48,0.52
Springfield,Hampden,42.1124,-72.5475,MA,0.08,0.08,0.06,0.07,0.18,0.12,0.12,0.11,0.1,0.06,0.02,0.53,0.47
Sterling,Worcester,42.4375,-71.7611,MA,0.03,0.06,0.06,0.1,0.08,0.1,0.14,0.18,0.13,0.1,0.02,0.52,0.48
Stockbridge,Berkshire,42.2875,-73.3208,MA,0.01,0.03,0.02,0.04,0.07,0.08,0.05,0.2,0.28,0.13,0.09,0.57,0.43
Stoneham,Middlesex,42.48,-71.1002,MA,0.04,0.05,0.04,0.04,0.12,0.14,0.14,0.14,0.14,0.08,0.07,0.5,0.5
Stoughton,Norfolk,42.125,-71.1028,MA,0.05,0.04,0.06,0.06,0.1,0.13,0.12,0.17,0.14,0.08,0.05,0.53,0.47
Stow,Middlesex,42.4369,-71.5061,MA,0.05,0.1,0.07,0.07,0.08,0.11,0.13,0.18,0.09,0.07,0.05,0.52,0.48
Sturbridge,Worcester,42.0981,-72.0639,MA,0.06,0.07,0.08,0.06,0.08,0.12,0.15,0.14,0.11,0.1,0.03,0.55,0.45
Sudbury,Middlesex,42.3825,-71.4125,MA,0.07,0.07,0.06,0.09,0.06,0.08,0.15,0.19,0.12,0.07,0.04,0.49,0.51
Sunderland,Franklin,42.4667,-72.5792,MA,0.05,0.02,0.04,0.04,0.3,0.12,0.09,0.12,0.13,0.06,0.03,0.52,0.48
Sutton,Worcester,42.15,-71.7633,MA,0.04,0.05,0.06,0.09,0.1,0.09,0.15,0.18,0.14,0.06,0.04,0.48,0.52
Swampscott,Essex,42.4708,-70.9181,MA,0.06,0.05,0.07,0.05,0.1,0.1,0.15,0.16,0.14,0.06,0.06,0.54,0.46
Swansea,Bristol,41.7482,-71.1896,MA,0.04,0.05,0.05,0.06,0.1,0.13,0.14,0.15,0.16,0.07,0.05,0.49,0.51
Taunton,Bristol,41.9017,-71.0927,MA,0.05,0.07,0.07,0.06,0.12,0.14,0.12,0.14,0.12,0.07,0.04,0.52,0.48
Templeton,Worcester,42.5561,-72.0676,MA,0.05,0.04,0.06,0.07,0.13,0.12,0.13,0.16,0.12,0.08,0.04,0.51,0.49
Tewksbury,Middlesex,42.6106,-71.2347,MA,0.04,0.05,0.07,0.07,0.11,0.11,0.14,0.15,0.15,0.06,0.05,0.52,0.48
Tisbury,Dukes,41.4535,-70.6033,MA,0.01,0.04,0.05,0.1,0.1,0.11,0.13,0.14,0.16,0.11,0.05,0.46,0.54
Tolland,Hampden,42.0813,-73.0115,MA,0.01,0.03,0.04,0.05,0.08,0.08,0.09,0.21,0.26,0.12,0.03,0.49,0.51
Topsfield,Essex,42.6375,-70.95,MA,0.07,0.06,0.07,0.08,0.05,0.09,0.14,0.15,0.12,0.09,0.08,0.52,0.48
Townsend,Middlesex,42.6669,-71.7058,MA,0.06,0.06,0.06,0.06,0.12,0.12,0.12,0.18,0.14,0.05,0.03,0.5,0.5
Truro,Barnstable,41.9991,-70.0537,MA,0.02,0.04,0.02,0.03,0.03,0.04,0.18,0.09,0.33,0.15,0.07,0.46,0.54
Tyngsborough,Middlesex,42.6717,-71.4169,MA,0.05,0.03,0.08,0.06,0.13,0.11,0.15,0.19,0.13,0.05,0.02,0.5,0.5
Tyringham,Berkshire,42.2458,-73.2042,MA,0.04,0.04,0.03,0.04,0.11,0.05,0.09,0.16,0.23,0.13,0.08,0.55,0.45
Upton,Worcester,42.1744,-71.6028,MA,0.04,0.07,0.06,0.08,0.09,0.12,0.14,0.19,0.13,0.06,0.02,0.5,0.5
Uxbridge,Worcester,42.0772,-71.63,MA,0.06,0.07,0.05,0.07,0.11,0.12,0.13,0.19,0.09,0.06,0.05,0.49,0.51
Wakefield,Middlesex,42.5064,-71.0733,MA,0.05,0.06,0.06,0.05,0.11,0.13,0.13,0.15,0.14,0.07,0.05,0.52,0.48
Wales,Hampden,42.0694,-72.2228,MA,0.07,0.06,0.07,0.07,0.12,0.11,0.12,0.16,0.14,0.05,0.03,0.51,0.49
Walpole,Norfolk,42.1417,-71.25,MA,0.07,0.06,0.07,0.08,0.08,0.13,0.15,0.15,0.09,0.08,0.04,0.49,0.51
Waltham,Middlesex,42.3806,-71.235,MA,0.05,0.03,0.06,0.04,0.21,0.18,0.12,0.11,0.1,0.06,0.04,0.51,0.49
Ware,Hampshire,42.2597,-72.2403,MA,0.06,0.05,0.04,0.05,0.1,0.14,0.12,0.14,0.15,0.09,0.06,0.51,0.49
Wareham,Plymouth,41.7625,-70.7222,MA,0.03,0.05,0.05,0.06,0.11,0.11,0.1,0.19,0.16,0.09,0.05,0.52,0.48
Warren,Worcester,42.2125,-72.1917,MA,0.06,0.07,0.07,0.05,0.1,0.18,0.14,0.13,0.1,0.04,0.06,0.56,0.44
Warwick,Franklin,42.6819,-72.3394,MA,0.04,0.05,0.04,0.05,0.09,0.06,0.11,0.22,0.23,0.08,0.03,0.5,0.5
Washington,Berkshire,42.3667,-73.1167,MA,0.02,0.05,0.05,0.02,0.04,0.08,0.11,0.19,0.27,0.13,0.04,0.47,0.53
Watertown,Middlesex,42.3674,-71.1875,MA,0.07,0.04,0.02,0.04,0.15,0.21,0.11,0.12,0.13,0.06,0.05,0.53,0.47
Wayland,Middlesex,42.3625,-71.3619,MA,0.05,0.09,0.07,0.07,0.06,0.11,0.13,0.17,0.11,0.09,0.05,0.5,0.5
Webster,Worcester,42.05,-71.8806,MA,0.05,0.06,0.05,0.06,0.12,0.12,0.11,0.18,0.12,0.08,0.05,0.54,0.46
Wellesley,Norfolk,42.2964,-71.2931,MA,0.04,0.07,0.12,0.11,0.12,0.07,0.13,0.13,0.1,0.07,0.04,0.57,0.43
Wellfleet,Barnstable,41.9375,-70.0333,MA,0.01,0.04,0.03,0.06,0.11,0.06,0.06,0.18,0.2,0.16,0.09,0.56,0.44
Wendell,Franklin,42.5481,-72.3972,MA,0.03,0.07,0.04,0.06,0.04,0.12,0.15,0.14,0.24,0.1,0.01,0.49,0.51
Wenham,Essex,42.6042,-70.8868,MA,0.04,0.03,0.14,0.11,0.2,0.07,0.09,0.12,0.09,0.05,0.06,0.57,0.43
West Boylston,Worcester,42.3667,-71.7861,MA,0.03,0.04,0.03,0.04,0.15,0.16,0.15,0.13,0.13,0.09,0.05,0.41,0.59
West Bridgewater,Plymouth,42.0189,-71.0083,MA,0.06,0.05,0.07,0.06,0.11,0.11,0.15,0.13,0.14,0.08,0.04,0.51,0.49
West Brookfield,Worcester,42.2353,-72.1417,MA,0.04,0.05,0.06,0.04,0.1,0.13,0.12,0.17,0.11,0.1,0.08,0.51,0.49
West Newbury,Essex,42.8014,-70.9903,MA,0.03,0.06,0.05,0.1,0.07,0.09,0.1,0.19,0.2,0.08,0.03,0.48,0.52
West Springfield,Hampden,42.1069,-72.6208,MA,0.05,0.05,0.06,0.06,0.13,0.13,0.13,0.16,0.11,0.07,0.05,0.51,0.49
West Stockbridge,Berkshire,42.3458,-73.3667,MA,0.03,0.06,0.04,0.05,0.08,0.06,0.14,0.19,0.19,0.12,0.04,0.49,0.51
West Tisbury,Dukes,41.3811,-70.675,MA,0.01,0.03,0.04,0.09,0.03,0.08,0.1,0.19,0.21,0.18,0.04,0.58,0.42
Westborough,Worcester,42.2694,-71.6167,MA,0.06,0.07,0.07,0.07,0.09,0.15,0.15,0.15,0.09,0.05,0.05,0.5,0.5
Westfield,Hampden,42.125,-72.75,MA,0.03,0.06,0.06,0.1,0.17,0.1,0.11,0.14,0.12,0.07,0.04,0.52,0.48
Westford,Middlesex,42.5811,-71.4396,MA,0.06,0.05,0.08,0.1,0.07,0.09,0.18,0.18,0.1,0.06,0.03,0.51,0.49
Westhampton,Hampshire,42.3028,-72.775,MA,0.03,0.06,0.09,0.02,0.12,0.09,0.11,0.21,0.16,0.08,0.03,0.51,0.49
Westminster,Worcester,42.5458,-71.9111,MA,0.03,0.06,0.06,0.06,0.1,0.12,0.11,0.16,0.2,0.08,0.02,0.5,0.5
Weston,Middlesex,42.3667,-71.3031,MA,0.05,0.07,0.07,0.1,0.09,0.05,0.13,0.17,0.11,0.08,0.08,0.52,0.48
Westport,Bristol,41.6389,-71.05,MA,0.03,0.05,0.05,0.06,0.09,0.09,0.14,0.17,0.15,0.11,0.06,0.5,0.5
Westwood,Norfolk,42.2139,-71.225,MA,0.06,0.07,0.07,0.07,0.09,0.07,0.15,0.18,0.1,0.07,0.07,0.52,0.48
Weymouth,Norfolk,42.2208,-70.9403,MA,0.05,0.05,0.06,0.05,0.13,0.13,0.13,0.14,0.14,0.08,0.04,0.53,0.47
Whately,Franklin,42.4448,-72.6258,MA,0.04,0.05,0.07,0.05,0.08,0.13,0.12,0.15,0.19,0.09,0.03,0.48,0.52
Whitman,Plymouth,42.0806,-70.9361,MA,0.07,0.05,0.06,0.08,0.14,0.12,0.14,0.15,0.09,0.07,0.03,0.51,0.49
Wilbraham,Hampden,42.1236,-72.4319,MA,0.05,0.04,0.06,0.08,0.09,0.12,0.11,0.16,0.14,0.09,0.06,0.54,0.46
Williamsburg,Hampshire,42.3927,-72.7303,MA,0.01,0.05,0.04,0.05,0.1,0.12,0.12,0.18,0.21,0.07,0.05,0.52,0.48
Williamstown,Berkshire,42.7119,-73.2042,MA,0.03,0.03,0.09,0.13,0.22,0.07,0.07,0.1,0.13,0.08,0.05,0.55,0.45
Wilmington,Middlesex,42.55,-71.1667,MA,0.06,0.05,0.06,0.06,0.12,0.12,0.13,0.17,0.12,0.06,0.05,0.51,0.49
Winchendon,Worcester,42.6871,-72.044,MA,0.06,0.07,0.06,0.07,0.15,0.12,0.1,0.17,0.11,0.05,0.04,0.48,0.52
Winchester,Middlesex,42.4522,-71.1375,MA,0.06,0.1,0.07,0.08,0.06,0.09,0.16,0.16,0.1,0.06,0.06,0.51,0.49
Windsor,Berkshire,42.5114,-73.0578,MA,0.02,0.04,0.04,0.06,0.1,0.06,0.15,0.19,0.26,0.06,0.02,0.49,0.51
Winthrop,Suffolk,42.375,-70.9833,MA,0.04,0.05,0.06,0.05,0.11,0.15,0.12,0.15,0.15,0.08,0.04,0.53,0.47
Woburn,Middlesex,42.4791,-71.1518,MA,0.06,0.05,0.05,0.05,0.12,0.16,0.12,0.14,0.13,0.07,0.05,0.49,0.51
Worcester,Worcester,42.2667,-71.8,MA,0.06,0.05,0.07,0.07,0.18,0.14,0.12,0.12,0.1,0.05,0.04,0.51,0.49
Worthington,Hampshire,42.3972,-72.9361,MA,0.02,0.05,0.06,0.06,0.1,0.09,0.13,0.14,0.21,0.1,0.04,0.54,0.46
Wrentham,Norfolk,42.0639,-71.3315,MA,0.07,0.06,0.07,0.07,0.09,0.11,0.12,0.19,0.13,0.05,0.04,0.48,0.52
Yarmouth,Barnstable,41.7055,-70.2286,MA,0.02,0.06,0.02,0.06,0.11,0.1,0.08,0.14,0.16,0.14,0.11,0.55,0.45
